政治实体,GEC代码,ISO 3166,ISO 3166,ISO 3166
?荷属安的列斯,NT,AN,ANT,不适用
?新喀里多尼亚,NC,NC,NCL,540
?新西兰,NZ,NZ,NZL,554
?尼加拉瓜,NU,NI,NIC,558
?尼日尔,NG,NE,NER,562
?尼日利亚,NI,NG,NGA,566
?纽埃,NE,NU,NIU,570
?诺福克岛,NF,NF,NFK,574
?北马里亚纳群岛,CQ,MP,MNP,580
?挪威,NO,NO,NOR,578
?阿曼,MU,OM,OMN,512
?巴基斯坦,PK,PK,PAK,586
?帕劳,PS,PW,PLW,585
?巴拿马,PM,PA,PAN,591
?巴布亚新几内亚,PP,PG,PNG,598
?巴拉圭,PA,PY,PRY,600
?秘鲁,PE,PE,PER,604
?菲律宾,RP,PH,PHL,608
?皮特凯恩群岛,PC,PN,PCN,612
?波兰,PL,PL,POL,616
?葡萄牙,PO,PT,PRT,620
?波多黎各,RQ,PR,PRI,630
?卡塔尔,QA,QA,QAT,634
?留尼汪,RE,RE,REU,638
?罗马尼亚,RO,RO,ROU,642
?中华民国,TW,TW,TWN,158
?俄罗斯,RS,RU,RUS,643
?卢旺达,RW,RW,RWA,646
?圣巴泰勒米,TB,BL,BLM,652
?圣赫勒拿,SH,SH,SHN,654
?圣基茨和尼维斯,SC,KN,KNA,659
?圣卢西亚,ST,LC,LCA,662
?法属圣马丁,RN,MF,MAF,663
?圣文森特和格林纳丁斯,VC,VC,VCT,670
?萨摩亚,WS,WS,WSM,882
?圣马力诺,SM,SM,SMR,674
?圣多美和普林西比,TP,ST,STP,678
?沙特阿拉伯,SA,SA,SAU,682
?塞内加尔,SG,SN,SEN,686
?塞尔维亚,RI,RS,SRB,688
?塞舌尔,SE,SC,SYC,690
?塞拉利昂,SL,SL,SLE,694
?新加坡,SN,SG,SGP,702
?荷属圣马丁,NN,SX,SXM,534
?斯洛伐克,LO,SK,SVK,703
?斯洛文尼亚,SI,SI,SVN,705
?所罗门群岛,BP,SB,SLB,90
?索马里,SO,SO,SOM,706
?南非,SF,ZA,ZAF,710
?南乔治亚和南桑威奇群岛,SX,GS,SGS,239
?南苏丹,OD,SS,SSD,728
?西班牙,SP,ES,ESP,724
?斯里兰卡,CE,LK,LKA,144
?苏丹,SU,SD,SDN,729
?苏里南,NS,SR,SUR,740
?圣皮埃尔和密克隆,SB,PM,SPM,666
?斯威士兰,WZ,SZ,SWZ,748
?瑞典,SW,SE,SWE,752
?瑞士,SZ,CH,CHE,756
?叙利亚,SY,SY,SYR,760
?塔吉克斯坦,TI,TJ,TJK,762
?坦桑尼亚,TZ,TZ,TZA,834
?泰国,TH,TH,THA,764
?东帝汶,TT,TL,TLS,626
?多哥,TO,TG,TGO,768
?托克劳,TL,TK,TKL,772
?汤加,TN,TO,TON,776
?特立尼达和多巴哥,TD,TT,TTO,780
?突尼斯,TS,TN,TUN,788
?土耳其,TU,TR,TUR,792
?土库曼斯坦,TX,TM,TKM,795
?特克斯和凯科斯群岛,TK,TC,TCA,796
?图瓦卢,TV,TV,TUV,798
?乌干达,UG,UG,UGA,800
?乌克兰,UP,UA,UKR,804
?阿联酋,AE,AE,ARE,784
?英国,UK,GB,GBR,826
?美国,US,US,USA,840
?美国本土外小岛屿,UM,UM,UMI,581
?乌拉圭,UY,UY,URY,858
?乌兹别克斯坦,UZ,UZ,UZB,860
?瓦努阿图,NH,VU,VUT,548
?委内瑞拉,VE,VE,VEN,862
?越南,VM,VN,VNM,704
?美属维尔京群岛,VQ,VI,VIR,850
?瓦利斯和富图纳,WF,WF,WLF,876
?巴勒斯坦,WE,PS,PSE,275
?阿拉伯撒哈拉民主共和国,WI,EH,ESH,732
?联合国,UN,不适用,不适用,不适用
?欧盟,EU,不适用,不适用,不适用
?非盟,AU,不适用,不适用,不适用
?东盟,ASEAN,不适用,不适用,不适用
?也门,YM,YE,YEM,887
?扎伊尔,ZA,ZA,ZAI,不适用
?赞比亚,ZA,ZM,ZMB,894
?津巴布韦,ZI,ZW,ZWE,716
?罗德西亚,RH,RO,RHO,不适用
?西印度群岛联邦,WI,WI,WIF,不适用
?独联体,EN,EN,EUN,不适用
?澳大拉西亚,AN,AZ,ANZ,不适用
?南斯拉夫,YU,YG,YUG,不适用
?苏联,UR,UR,URS,不适用
?达荷美,DA,DH,DAH,不适用
?上伏塔,VO,VL,VOL,不适用
?波希米亚,BO,BO,BOH,不适用
?捷克斯洛伐克,TC,TC,TCH,不适用
?联合阿拉伯共和国,UA,UA,UAR,不适用
?塞尔维亚和黑山,SC,SG,SCG,不适用
